DonationDate,Name,From Email Address,To Email Address,DonationAmount,Address Line 1,Town/City,State,Zip/Postal Code
08/01/2024,Edward Cullen,Isparklealot@gmail.com,weareprojectcompassion@gmail.com,234,3333 NW Quimby St, Portland, OR,97210
09/01/2024,Tony Stark,IamIronMan@gmail.com,weareprojectcompassion@gmail.com,10000,10880 Malibu Point, Malibu, CA,90265
10/01/2024,Tailor Swift,Ilovemy3cats@gmail.com,weareprojectcompassion@gmail.com,592,1313 Mockingbird Lane, Nashville, TN,37212
10/28/2024,Steve Rogers,srogers@gmail.com,weareprojectcompassion@gmail.com,135,569 Leaman Place, Brooklyn, NY,11211
11/01/2024,Anakin Skywalker,askywalker@gmail.com,weareprojectcompassion@gmail.com,746,23 Tatooine St, Mos Eisley, TX,75201
12/01/2024,Bella Swan,bswan@gmail.com,weareprojectcompassion@gmail.com,319,184 S 6th St, Forks, WA,98331
12/03/2024,Jacob Black,jblack@gmail.com,weareprojectcompassion@gmail.com,480,755 Forks Ave S, Forks, WA,98331
01/01/2025,Carlisle Cullen,ccullen@gmail.com,weareprojectcompassion@gmail.com,923,2892 Cougar Run Rd, Forks, WA,98331
01/14/2022,Jasper Hale,jhale@gmail.com,weareprojectcompassion@gmail.com,567,3110 Clearwater Rd, Forks, WA,98331
03/25/2022,Bruce Banner,bbanner@gmail.com,weareprojectcompassion@gmail.com,205,177A Bleecker St, New York, NY,10012
05/06/2022,Clint Barton,cbarton@gmail.com,weareprojectcompassion@gmail.com,764,301 Park Ave, New York, NY,10022
07/19/2022,Peter Parker,pparker@gmail.com,weareprojectcompassion@gmail.com,412,20 Ingram St, Forest Hills, NY,11375
09/02/2022,Wanda Maximoff,wmaximoff@gmail.com,weareprojectcompassion@gmail.com,895,6144 Guerrero St, Westview, NJ,7052
11/14/2022,Padme Amidala,pamidala@gmail.com,weareprojectcompassion@gmail.com,358,37 Naboo Ln, Theed, NA,11375
12/28/2022,Obi-Wan Kenobi,okenobi@gmail.com,weareprojectcompassion@gmail.com,679,42 Jedi Temple, Coruscant, CR,10001
02/03/2023,Han Solo,hsolo@gmail.com,weareprojectcompassion@gmail.com,248,12 Falcon Ave, Corellia, CO,80014
04/17/2023,Whitney Houston,whouston@gmail.com,weareprojectcompassion@gmail.com,721,1234 Music Way, Newark, NJ,7103
06/22/2023,Mariah Carey,mcarey@gmail.com,weareprojectcompassion@gmail.com,503,4567 Butterfly St, Huntington, NY,11743
08/05/2023,Michael Jackson,mjackson@gmail.com,weareprojectcompassion@gmail.com,396,7890 Thriller Blvd, Gary, IN,46401
10/10/2023,Britney Spears,bspears@gmail.com,weareprojectcompassion@gmail.com,844,9876 Lucky Ave, Kentwood, LA,70444
11/27/2023,Madonna,madonna@gmail.com,weareprojectcompassion@gmail.com,281,5432 Material Girl Rd, Bay City, MI,48706
01/01/2024,Janet Jackson,jjackson@gmail.com,weareprojectcompassion@gmail.com,955,987 Control St, Gary, IN,46401
03/15/2024,Celine Dion,cdion@gmail.com,weareprojectcompassion@gmail.com,134,1111 Power of Love Blvd, Charlemagne, LA,70444
05/30/2024,Elton John,ejohn@gmail.com,weareprojectcompassion@gmail.com,680,2222 Rocketman Rd, Pinner, MI,48706
07/04/2024,Kurt Cobain,kcobain@gmail.com,weareprojectcompassion@gmail.com,742,6789 Grunge Ln, Aberdeen, WA,98520
09/09/2024,Eddie Vedder,evedder@gmail.com,weareprojectcompassion@gmail.com,516,456 Even Flow St, Evanston, IL,60201
10/20/2024,Chris Cornell,ccornell@gmail.com,weareprojectcompassion@gmail.com,377,123 Black Hole Sun Blvd, Seattle, WA,98101
12/05/2024,Layne Staley,lstaley@gmail.com,weareprojectcompassion@gmail.com,905,555 Rooster Rd, Kirkland, WA,98033
01/11/2021,Scott Weiland,sweiland@gmail.com,weareprojectcompassion@gmail.com,624,789 Plush Ave, San Jose, CA,95112
03/25/2021,Jerry Cantrell,jcantrell@gmail.com,weareprojectcompassion@gmail.com,193,234 Man in the Box St, Tacoma, WA,98405
05/08/2021,Courtney Love,clove@gmail.com,weareprojectcompassion@gmail.com,712,890 Celebrity Skin Ln, Portland, OR,97210
07/14/2021,Mark Arm,marm@gmail.com,weareprojectcompassion@gmail.com,469,765 Overblown Ave, Seattle, WA,98105
09/19/2021,Steve Turner,sturner@gmail.com,weareprojectcompassion@gmail.com,878,321 Touch Me I'm Sick St, Seattle, WA,98105
12/31/2021,William DuVall,wduvall@gmail.com,weareprojectcompassion@gmail.com,532,432 New Lane, Atlanta, GA,30301
02/15/2022,Beyonc  Knowles,bknowles@gmail.com,weareprojectcompassion@gmail.com,681,7867 Single Ladies St, Houston, TX,77001
04/22/2022,Justin Timberlake,jtimberlake@gmail.com,weareprojectcompassion@gmail.com,753,6545 SexyBack Blvd, Memphis, TN,38103
06/05/2022,Christina Aguilera,caguilera@gmail.com,weareprojectcompassion@gmail.com,429,4545 Genie in a Bottle Ln, Staten Island, NY,10301
10/27/2022,Shakira Mebarak,smebarak@gmail.com,weareprojectcompassion@gmail.com,901,111 Hips Don't Lie Ave, Barranquilla, AT,80002
